Author	Quote
F.K. Preston	The belief in their actions can mend constellations. The ambition in their thirst for knowledge can both create and destroy.
Sukant Ratnakar, Quantraz	The best answers are hidden inside - explore within!
	The best argument against democracy is a five minute conversation with the average voter.
	The best substitute for brains is silence.
	The best things in life are never rationed. Friendship, loyalty, love do not require coupons.
Linus Pauling	The best way to have a good idea is to have a lot of ideas.
Criss Jami	The biggest challenge after success is shutting up about it.
Jim Rohn	The book you don't read won't help.
Isaac Asimov	The card-player begins by arranging his hand for maximum sense. Scientists do the same with the facts they gather.
Steve Pease	The challenge of life is to find a reason to be thankful in what seems on the surface to be a reason to complain.
Jim Fannin	The champion wins first, then walks into the arena. Everybody else walks into the arena and then tries to figure out what to do.
	The corruption in reporting starts very early. It's like the police reporting on the police.
Richard Feynman	The deeper a thing is, the more interesting it is
DeWayne Owens	The definition of comfort zone: Good is the enemy of your best.
	The Democrats are very bad at selling their own product. The Republicans are geniuses at it.
Sir William Osler	The desire to take medicine is perhaps the greatest feature which distinguishes man from animals.
Tom Clancy	The difference between fiction and reality? Fiction has to make sense.
Larry Niven	The dinosaurs became extinct because they didn't have a space program.
	The diseases which destroy a man are no less natural than the instincts which preserve him.
Anaïs Nin	The dream was always running ahead of me. To catch up, to live for a moment in unison, was the miracle.
Eraldo Banovac	The dynamic nature of knowledge is reflected in human progress and technological achievements.
Thabiso Monkoe	The earliest fisherman catches the fattest fish.
K. J. Parker	The easiest way to do anything is properly.
Deepak Chopra	The ego relies on the familiar. It is reluctant to experience the unknown, which is they very essence of life.
Carl Friedrich Gauss	The enchanting charms of this sublime science reveal only to those who have the courage to go deeply into it.
Aristotle	The energy of the mind is the essence of life.
Unknown	The engineer's first problem in any design situation is to discover what the problem really is.
Robertson Davies	The eye sees only what the mind is prepared to comprehend.
Abhijit Naskar	The first civilized being is not the one who wore a suit, but the one who stood up and said, I'll correct myself.
Toni Morrison	The function of freedom is to free someone else.
Frank Herbert	The function of science fiction is not always to predict the future but sometimes to prevent it.
John Sladek	The future, according to some scientists, will be exactly like the past, only more expensive.
Anonymous	The goal of science and engineering is to build better mousetraps. The goal of nature is to build better mice.
Aristotle	The gods too are fond of a joke.
Neil deGrasse Tyson	The good thing about the laws of physics is that they require no law enforcement agencies to maintain them
Helen Sharman	The government will see that human spaceflight is useful - for science and the economy - and inspirational.
Conan Doyle	The grand thing is to be able to reason backwards.
Michel de Montaigne	The greater part of the world's troubles are due to questions of grammar.
Michelangelo	The greatest danger for most of us is not that we aim too high and we miss it, but we aim too low and reach it.
Oprah Winfrey	The greatest discovery of all time is that a person can change his future by merely changing his attitude.
William Golding	The greatest ideas are the simplest.
Steve Maraboli	The greatest love stories are not those in which love is only spoken, but those in which it is acted upon.
Charles Lamb	The greatest pleasure I know, is to do a good action by stealth, and to have it found out by accident.
Walter Bagehot	The greatest pleasure in life is doing what people say you cannot do.
Albert A. Bartlett	The greatest shortcoming of the human race is our inability to understand the exponential function.
Robert Louis Stevenson	The habit of being happy enables one to be freed, or largely freed, from the domination of outward conditions.
Benjamin Franklin	The heart of a fool is in his mouth, but the mouth of a wise man is in his heart.
	The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.
	The height of cultivation runs to simplicity. Halfway cultivation runs to ornamentation.
Israelmore Ayivor	The height of your success will be measured with reference to the depth from which you started.
Vineet Raj Kapoor	The higher the obstacles, the higher we get to rise
Samuel Butler	The history of art is the history of revivals.
Neil Gaiman	The house smelled musty and damp, and a little sweet, as if it were haunted by the ghosts of long-dead cookies.
Jeff Bezos	The human brain is an incredible pattern-matching machine.
Unknown	The human brain is one of the most complex objects in the universe. Is it any wonder that so many people never learn to use it.
Leonardo da Vinci	The human foot is a masterpiece of engineering and a work of art.
Isaac Asimov	The human mechanism is marvelous. But why not—it is the result of three-and-a-half billion years of tinkering.
	The imaginary friends I had as a kid dropped me because their friends thought I didn't exist.
William Lawrence Bragg	The important thing in science is not so much to obtain new facts as to discover new ways of thinking about them.
	The important thing is not to stop questioning.
Stephen Hawking	The increase of disorder or entropy is what distinguishes the past from the future, giving a direction to time.
Ben Stein	The indispensable first step to getting the things you want out of life is this: decide what you want.
Lao Tzu	The journey of a thousand miles begins with a single step. Watch your step.
Beth Kempton	The journey of the Freedom Seeker isn't always easy. But it is essential, and it is urgent, for it is the path to coming alive again.
Ninon de Lenclos	The joy of a spirit is the measure of its power.
Sunday Adelaja	The leaders have the responsibility to protect and hold in high esteem the law and virtues of the land.
RSD	The Lesson is Life and Life is the Lesson, and the Lesson does not contain a single Atom.
Roy T. Bennett	The level of success you achieve will be in direct proportion to the depth of your commitment.
Chinese	The man of worth is really great without being proud; the mean man is proud without being really great.
Mark Twain	The man who does not read good books has no advantage over the man who cannot read them.
	The measure of a man's real character is what he would do if he knew he would never be found out.
Paul Dirac	The measure of greatness in a scientific idea is the extent to which it stimulates thought and opens up new lines of research.
Marshall McLuhan	The medium is the message.
Isaac Asimov	The mere existence of nuclear weapons by the thousands is an incontrovertible sign of human insanity.
Malebo Sephodi	The mirrors of capitalism will never reflect us as wealthy, successful or even worthy. - Change perception
G. Byrne.	The mole is a quantity of substance. The new prefix ' guaca ' is defined such that one guacamole equals Avocado's Number.
Shihab Kazi	The moment you need to get started is called "now".
Shannon L. Alder	The moon will guide you through the night with her brightness, but she will always dwell in the darkness, in order to be seen.
Michel Legrand	The more I live, the more I learn. The more I learn, the more I realize, the less I know.
Tarun Sharma	The more risk you can take upfront in life, the better off you will be later.
Compton Gage	The more thou search, the more thou shall marvel.
Elisabeth Foley	The most beautiful discovery true friends make is that they can grow separately without growing apart.
Albert Einstein	The most beautiful thing we can experience is the mysterious. It is the source of all true art and science.
William Lloyd George	The most dangerous thing in the world is to try to leap a chasm in two jumps.
Isaac Asimov	The most exciting phrase to hear in science, the one that heralds new discoveries, is not 'Eureka!' but 'That's funny...'
Isaac Asimov	The most exciting phrase to hear in science, the one that heralds the most discoveries, is not 'Eureka!' but 'That's funny…'
Debasish Mridha MD	The most important goal of education is to pursue the ultimate purpose of life, to achieve success with happiness.
John Wooden	The most important key to achieving great success is to decide upon your goal and launch, get started, take action, move.
Stephen Hawking	The most important point: that the universe is governed by a set of rational laws that we can discover and understand.
Nicolas Chamfort	The most wasted of all days is one without laughter.
Roshan Sharma	The natural order of life is not the thinking and imagination, but living in the moment, with absolute trust.
George F. Will	The nice part about being a pessimist is that you are constantly being either proven right or pleasantly surprised.
	The nice thing about being a celebrity is that, if you bore people, they think it's their fault.
Marcus Aurelius	The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.
Roy T. Bennett	The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.
Cesare Pavese	The only joy in the world is to begin.
Franklin Delano Roosevelt	The only limit to our realization of tomorrow will be our doubts of today.
Vince Lombardi	The only place success comes before work is in the dictionary.
Albert Einstein	The only real valuable thing is intuition.
Albert Einstein	The only reason for time is so that everything doesn't happen at once.
Henry Ford	The only true test of values, either of men or of things, is that of their ability to make the world a better place in which to live.
Arthur C. Clarke	The only way of discovering the limits of the possible is to venture a little way past them into the impossible.
Maged Gamani	The only way to fail, is when you allow it to happen.
	The optimist says the glass is half full, the pessimist say the glass is half empty, the engineer says the glass is too large.
Sarah Gerdes	The Overlooked Expert is the person who's fully capable of starting and running a profitable business.
Queen Elizabeth I	The past can not be cured.
Shaun S. Lott	The pendulum of life swings equally to both sides until friction is applied
Voltaire	The perfect is the enemy of the good.
Johann Wolfgang von Goethe	The person born with a talent they are meant to use will find their greatest happiness in using it.
Cecil B. DeMille	The person who makes a success of living is the one who sees his goal steadily and aims for it unswervingly. That is dedication.
Albert Einstein	The physicist's greatest tool is his wastebasket.
Robert M. Pirsig	The place to improve the world is first in one's own heart and head and hands, and then work outward from there.
Lailah Gifty Akita	The possibility of the dream gives strength.
George Bernard Shaw	The power of accurate observation is frequently called cynicism by those who don't have it.
Norhafsah Hamid	The power of knowledge is so great and forceful, if only we knew.
Henri Bergson	The present contains nothing more than the past, and what is found in the effect was already in the cause.
David Russell	The present is a point just passed.
	The present is a rope stretched over the past. The secret to walking it is, you never look down.
Ralph Waldo Emerson	The prize will not be sent to you. You have to win it.
Jennifer Niven	The problem with people is they forget that most of the time it's the small things that count.
Bernie DeKoven	The purpose of fun is to live it.
Albert Einstein	The pursuit of truth and beauty is a sphere of activity in which we are permitted to remain children all our lives.
Francis Bacon	The real and legitimate goal of the sciences is the endowment of human life with new commodities.
Marty Rubin	The real mystery is the known, not the unknown.
	The real trouble with war (modern war) is that it gives no one a chance to kill the right people.
Rajesh Walecha	The reality exists within and we are searching it in gamut of illusion.
W. Clement Stone	The reason so few people are successful is no one has yet found a way for someone to sit down and slide uphill.
Ralph Waldo Emerson	The reward of a thing well done is having done it.
Mike Carey	The right idea at the right time is like a dandelion...You may hack it down, but you only spread the seeds abroad.
Herman Hesse	The river is everywhere.
Wasif Minhas	The river of emotions will almost always over-run the barrage of logic.
Ken Norris	The scientific method is nothing more than a system of rules to keep us from lying to each other.
Mark Russell.	The scientific theory I like best is that the rings of Saturn are composed entirely of lost airline luggage.
Jason Silva	The scientist and engineers who are building the future need the poets to make sense of it.
Erwin Schrödinger	The scientist only imposes two things, namely truth and sincerity, imposes them upon himself and upon other scientists.
Sunday Adelaja	The secret of all greatness is knowing what to do with time.
Marcus Aurelius	The secret of all victory lies in the organization of the non-obvious.
Aristotle Onassis	The secret of success is to know something nobody else knows.
Benjamin Disraeli	The secret to success is constancy of purpose.
Victor Borge	The shortest distance between two people is a smile.
Albert Einstein	The significant problems of our time cannot be solved by the same level of thinking that created them.
Albert Einstein	The significant problems we have cannot be solved at the same level of thinking with which we created them.
	The signs of the zodiac are karmic patterns; the planets are the looms; the will is the weaver.
Adam Braun	The single most powerful element of youth is that you don't have the life experiences to know what can't be done.
Suzy Kassem	The smaller the creature, the bolder its spirit.
Isaac Asimov	The solar system consists of Jupiter plus debris.
Daniel Defoe	The soul is placed in the body like a rough diamond, and must be polished, or the lustre of it will never appear.
Irvin D. Yalom	The spirit of a man is constructed out of his choices.
Steve Backley	The sprint is like life ... blink and you miss it.
SENECA	The state of that man's mind who feels too intense an interest as to future events, must be most deplorable.
Lailah Gifty Akita	The strength of every individual is the grace for great work.
CONFUCIUS	The superior man wishes to be slow in his words and earnest in his conduct.
Giacomo Leopardi	The surest way of concealing from others the boundaries of one's own knowledge is not to overstep them.
Richard Feynman	The thing that doesn't fit is the thing that's the most interesting: the part that doesn't go according to what you expected.
JOHN TASKINSOY	The three great essentials of success are, first, try; second, try again; and third, keep trying.
Steve Backley	The thrust of continuous action is the firewood which fuels motivation.
	The time is near at hand which must determine whether Americans are to be free men or slaves.
	The time to be happy is now. The place to be happy is here. The way to be happy is to make others so.
Jim Rohn	The ultimate reason for setting goals is to entice you to become the person it takes to achieve them.
Steve Maraboli	The universe doesn't give you what you ask for with your thoughts - it gives you what you demand with your actions.
Stephen Hawking	The Universe in a Nutshell
Peter DeVries	The universe is like a safe to which there is a combination - but the combination is locked up in the safe.
Muriel Rukeyser	The universe is made of stories, not of atoms.
Barbara Tuchman	The unrecorded past is none other than our old friend, the tree in the primeval forest which fell without being heard.
Brian O'Driscoll	The victory is always sweeter... winning things with friends.
Carl Sagan	The visions we offer our children shape the future.
Sherlock	The way a person stands may disguise who they are.
FRANKLIN	The way to wealth is as plain as the road to market. It depends chiefly on two words, industry and frugality.
Isaac Asimov	The wish to believe, even against evidence, fuels all the pseudosciences from astrology to creationism.
Will Henry	The wishbone will never replace the backbone
Jacob Bronowski	The world can only be grasped by action, not by contemplation...The hand is the cutting edge of the mind.
Sherman Alexie	The world even the smallest parts of it, is filled with things you don't know.
Oscar Wilde	The world is a stage and the play is badly cast.
Elbert Hubbard	The world is moving so fast these days that the man who says it can't be done is generally interrupted by someone doing it.
Sean Carroll	The world keeps happening, in accordance with its rules; it's up to us to make sense of it and give it value.
Alice Feeney	The world keeps on spinning, repeating itself over and over until something changes, which it doesn't because we can't.
Woodrow Wilson	The world must be made safe for democracy. Its peace must be planted upon the tested foundations of political liberty.
Socrates	The world's a puzzle; no need to make sense out of it.
Isaac Asimov	The worlds of our solar system are widely different, but all share a common gravitational tie to the sun.
Charles Kettering	The Wright brothers flew right through the smoke screen of impossibility.
Ralph Waldo Emerson	The years teach much which the days never know.
Oscar Wilde	The youth of America is their oldest tradition. It has been going on now for three hundred years.
	Their are to weighs two pass a hurdle: leaping over oar plow wing threw... Their need stew bee a monster truck option.
Belsebuub	Theirs a nowledge tath is beynod teh mnid adn the intellect, it is the wisdum of consciousness.
Jodi Picoult	There are always sides. There is always a winner, and a loser. For every person who gets, there's someone who must give.
Charles Dickens	There are books of which the backs and covers are by far the best parts.
	There are eight planets, unless of course you still count Pluto in which case there are nine million planets.
Hippocrates	There are in fact two things, science and opinion; the former begets knowledge, the later ignorance.
Hippocrates	There are in fact two things, science and opinion; the former begets knowledge, the latter ignorance.
George Polyá	There are many questions which fools can ask that wise men cannot answer.
Rainer Maria Rilke	There are no classes in life for beginners: right away you are always asked to deal with what is most difficult.
Napoleon Hill	There are no limitations to the mind except those that we acknowledge.
Colin L. Powell	There are no secrets to success. It is the result of preparation, hard work and learning from failure.
Zig Ziglar	There are no traffic jams on the extra mile.
	There are people whose watch stops at a certain hour and who remain permanently at that age.
Mary Hoffman	There are some choices you can only make once. You can't go back to where you made a choice and then take the other one.
Frederick William Faber	There are souls in this world who have the gift of finding joy everywhere, and leaving it behind them when they go.
Galileo Galilei	There are those who reason well, but they are greatly outnumbered by those who reason badly.
Rex Todhunter Stout	There are two kinds of statistics, the kind you look up and the kind you make up.
Einstein	There are two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.
Stephen King	There came a time when you realized that moving on was pointless. That you took yourself with you wherever you went.
Shannon L. Alder	There comes a time in your life when you have to choose to turn the page, write another book or simply close it.
Stephen Hawking	There could be whole antiworlds and antipeople made out of antiparticles. However, if you meet your antiself, don't shake hands!
Jeanette Winterson	There is a certain seductiveness about dead things. You can ill treat, alter and recolour what's dead. It won't complain.
Debasish Mridha MD	There is a gap between dreams and reality. Don't fear this gap, but zap it with action, persistence and perseverance.
Henry Van Dyke	There is a loftier ambition than merely to stand high in the world. It is to stoop down and lift mankind a little higher.
David Eagleman	There is a looming chasm between what your brain knows and what your mind is capable of accessing.
	There is a very easy way to return from a casino with a small fortune: go there with a large one.
Isaac Asimov	There is an art to science, and science in art; the two are not enemies, but different aspects of the whole.
Mahatma Gandhi	There is more to life than simply increasing its speed.
James Russell Lowell	There is no good in arguing with the inevitable. The only argument available with an east wind is to put on your overcoat.
J. B. S. Haldane	There is no great invention, from fire to flying, which has not been hailed as an insult to some god.
John Millington Synge	There is no language like the Irish for soothing and quieting.
	There is no meaning to life except the meaning man gives his life by unfolding of his powers.
Nelson Mandela	There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.
Bob Iger	There is no science in creativity. If you don't give yourself room to fail, you won't innovate.
John Kramer	There is no success where there are no secrets.
Frank Serafini	There is no such thing as a child who hates to read; there are only children who have not found the right book.
Gayatri Gadre	There is no U-turn in life, what is done, is done, what you have missed, you missed. You can't go back and revisit it
Stephen Hawking	There is no way that we can predict the weather six months ahead beyond giving the seasonal average
Carlos Ruiz Zafón	There is nothing in the path of life that we don't already know before we start. Nothing is learned; it is simply remembered.
Marcel Proust	There is nothing like desire for preventing the thing one says from bearing any resemblance to what one has in mind.
Sir J. Lubbock.	There is nothing ridiculous in seeming to be what you really are, but a good deal in affecting to be what you are not.
	There is nothing that will kill a man so soon as having nobody to find fault with but himself.
Ralph Waldo Emerson	There is one other reason for dressing well, namely that dogs respect it, and will not attack you in good clothes.
Norman Vincent Peale	There is real magic in enthusiasm. It spells the difference between mediocrity and accomplishment.
Joe L. Wheeler	There is something incredibly nostalgic and significant about the annual cascade of autumn leaves.
Isaac Asimov	There is something particularly human about using tools; the first and most important tool being language.
Aaron Lauritsen	There is strange comfort in knowing that no matter what happens today, the Sun will rise again tomorrow.
Unknown	There may be no excuse for laziness, but I'm still looking.
Cassandra Clare	There was beauty in the idea of freedom, but it was an illusion. Every human heart was chained by love.
Alec Baldwin	there was nothing to be ashamed of in doing jobs simply to make a living, so long as those jobs fueled other creative efforts
David Halberstam	There was, I found, always more to learn.
	There's a common myth that evidence speaks for itself. It doesn't. It just sits there on the lab table, incapable of speaking.
Randy Pausch	There's a limit to how many times you can read how great you are and what an inspiration you are, but I'm not there yet.
WISDOM KWASHIE MENSAH	There's joy in every circumstance. The beginning is bitter, but in between, there are valuable lessons that bring joy.
	There's no tragedy in life like the death of a child. Things never get back to the way they were.
Najwa Zebian	These mountains that you are carrying, you were only supposed to climb.
Dr. Seuss	They say I'm old-fashioned, and live in the past, but sometimes I think progress progresses too fast!
Karen White	They say that not matter how old you become, when you are with your siblings, you revert back to childhood.
Mike Schmoker	Things get done only if the data we gather can inform and inspire those in a position to make difference.
Langston Hughes	Think before you speak. Read before you think.
Tim Ferriss	Think BIG and don't listen to people who tell you it can't be done. Life's too short to think small.
Taisen Deshimaru	Think with your whole body.
Moses Hadas	This book fills a much-needed gap.
William Arthur Ward	This bright new year is given me to live each day with zest, to daily grow and try to be my highest and my best!
Richelle Mead	This college would probably have the same problem as the last one did."I frowned, "What's that?""Homework.
	This I conceive to be the chemical function of humor - to change the character of our thought.
Sunday Adelaja	Those irritations and uneasiness you are faced with are evidence that you have an assignment to fulfill.
Nicolaus Copernicus	Those things which I am saying now may be obscure, yet they will be made clearer in their proper place.
Leena Ahmad Almashat	Those who don't jump will never fly.
Sunday Adelaja	Those who fight for social justice and the rights of people will count any other thing as unimportant.
Natsuki Takaya	Those who hurt others will also hurt themselves.
Mokokoma Mokhonoana	Those who know the least want to be heard the most.
	Those who occupy their minds with small matters, generally become incapable of greatness.
Abraham Lincoln	Thoughtful men must feel that the fate of civilization upon this continent is involved in the issue of our contest. 
Suzy Kassem	Three things have a limited threshold:Time, pain, and death.While truth, love, and knowledge 'Are boundless.
JOHN TASKINSOY	Throughout my life, I have not done things just because somebody deemed important; this why I am successful today.
Edwin Way Teale	Thyme and space - thyme two bee alone, space two move about - these may well bee the grate scarcities of tomorrow
HAWTHORNE	Time flies over us, but leaves its shadow behind.
Rodel Dosado	Time is not made of atoms to manipulate it back.
Neel Preet	Time is the real emperor and there is no space for any pride since time flies and blows away anything.
Tarun Sharma	Time is the single most important resource that we have. Every single minute we lose is never coming back.
Ann Brashares	Time is what keeps things from happening all at once.
Sunday Adelaja	Time plays a major role in achieving success
William Shakespeare	Tis an ill cook that cannot lick his own fingers.
Abhishek Aditeya	To achieve great success, you first have to learn to admire great failure.
Debasish Mridha MD	To be a success, think of happiness.
Debasish Debha, M.D.	To be a tremendous success, look for opportunity rather than security.
Confucius	To be fond of learning is near to wisdom.
Galileo Galilei	To be humane, we must ever be ready to pronounce that wise, ingenious and modest statement 'I do not know'.
Debasish Mridha MD	To be noble, help others to succeed
Wilson Kanadi	To be the best, you must be able to handle the worst.
Laura Linney	To be too knowing is a downfall.
Georges Canguilhem	To err is human, to persist in error is diabolical.
Karen Horney	To find a mountain path all by oneself gives a greater feeling of strength than to take a path that is shown.
Lailah Gifty Akita	To have hope is to be happy.
Debasish Mridha MD	To listen be silent, to succeed be persistent
Philip K. Dick	To live is to be haunted.
	To love someone deeply gives you strength. Being loved by someone deeply gives you courage.
Isaac Newton	To me there has never been a higher source of earthly honor or distinction than that connected with advances in science.
Sebastian Thrun	To me, mathematics, computer science, and the arts are insanely related. They're all creative expressions.
	To myself, personally, it brings nothing but increasing drudgery and daily loss of friends.
Iimani David	To protect themselves, the weak focus on the "bad" in people. Conversely, the strong, who fear little, focus on the "good".
Sunday Adelaja	To some extent, it is almost blasphemous to think that insult, anger and irritation could be a positive force.
Douglas Adams	To summarize the summary of the summary: people are a problem.
Isaac Asimov	To test a perfect theory with imperfect instruments did not impress the Greek philosophers as a valid way to gain knowledge.
Libba Bray	To those who will see, the world waits.
Charlie Chaplin	To truly laugh, you must be able to take your pain, and play with it.
Aristotle	To write well, express yourself like the common people, but think like a wise man.
Eleanor Roosevelt	Today is the oldest you've ever been, and the youngest you'll ever be again.
Dr. Seuss	Today was good. Today was fun. Tomorrow is another one.
Edward Young	Too low they build, who build beneath the stars.
Sarah Dessen	Too many locks, not enough keys.
Nicholas Sparks	Too many people seem to believe that silence was a void that needed to be filled, even if nothing important was said.
Steve Backley	Too often, people get stuck in a state of over-thinking, the result is that they never reach a decision.
Greg Easterbrook	Torture numbers, and they'll confess to anything.
David Mitchell	Travel far enough, you meet yourself.
Debasish Mridha, M.D.	Treat everyone in every situation with kindness; it is the ultimate purpose and wisdom of life.
Ahmed Omaar	Trees make me beleve taht wee can also renew and reshape hour lives, know madder wat wee face inn lyfe
Ahmed Omaar	Trees make me believe that we can also renew and reshape our lives, no matter what we face in life.
Benjamin Franklin	Trouble knocked at the door, but, hearing laughter, hurried away
Henry David Thoreau	True friendship can afford true knowledge. It does not depend on darkness and ignorance.
Hazel Butterworth	Trust your inner guidance and follow your heart, for your soul has your blueprint and the universe has your back.
Toba Beta	Truth ain't be in secret site to be found.It lies within certain levels of understanding and knowledge.
Toba Beta	Truth ain't bee inn secret site two bee found. It lies within certain levels of under standign and now ledge.
Andy Weir	Turns out even NASA can't improve on duct tape.
Unknown	Two snowmen in a field, one turned to the other and said "I don't know about you but I can smell carrots!"
Debasish Mridha	Two things prevent you from becoming a success: dwelling in the past with regret, and following others blindly.
Weike Wang	Uh hall mark of siecnce is seting out two discoevr won thing and then discovering somthin else.
Unknown	Uh strate face and a sincere sounding "Huh?" have gotten meow of more trouble than eye can remember.
E. E. Cummings	Unbeing dead isn't being alive.
David Bohm	Universe consists of frozen light.
Nikola Tesla	Unlocking some secrets of the universe needs thinking in terms of energy, frequency and vibration.
Jessa Stephens	Until you deal with the core of the problem—nothing changes. Life is about choices; choices make a change.
Lorii Myers	Upon achieving a lifelong dream, I thought, this is the way to live your life -- in the moment, and to the fullest.
Henry Ward Beecher	Victories that are easy are cheap. Those only are worth having which come as the result of hard fighting.
Chessmaster Savielly Grigorievitch Tartakower	Victory goes to the player who makes the next-to-last mistake.
Mike Marshall	Victory is in the quality of the competition, not just the final score.
E.A. Bucchianeri	Victory only comes through wear and tear.
Tobi Delly	Vision is your first creation of the future.
Ian Desabrais	Waiting around to be perfect never amounts to anything. Don't be a waiter or you'll be serving other people.
Unknown	Waiting to develop courage is just another form of procrastination. The most successful people take action while they're afraid!
Ally Carter	Waiting. Like it or not, it's a skill all spies have to master eventually.
A.P.J. Abdul Kalam	War is never a lasting solution for any problem.
	War is the statesman's game, the priest's delight, The lawyer's jest, the hired assassin's trade.
Stephen Covey	Watt ever is at teh centa of hour life will bee teh source of hour securaty, guidance, wiz dumb, and power
Niels Bohr	We all agree that your theory is crazy, but is it crazy enough?
N. R. Narayana Murthy	We all, as engineers, doctors, have a big responsibility to bring smiles on the faces of suffering humanity.
John W. Gardner	We are continually faced with a series of great opportunities brilliantly disguised as insoluble problems.
Kavita Bhupta Ghosh	We are so busy teaching small things about life to children that we forget to learn big things from them.
Douglas Adams	We are stuck with technology when what we really want is just stuff that works.
Dirk Wittenborn	We are the sum of all people we have ever met; you change the tribe and the tribe changes you.
Veronica Roth	We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another. 
Werner von Braun	We can lick gravity, but the paperwork's a bit tougher.
CHATEAUBRIAND	We can prostrate ourselves in the dust when we have committed a fault, but it is not best to remain there.
Randy Pausch	We cannot change the cards we are dealt, just how we play the hand.
Lailah Gifty Akita	We cannot just live any how.
Ronald Reagan	We can't help everyone, but everyone can help someone.
Walt Whitman	We convince by our presence.
Maya Angelou	We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.
Patricia King	We don't have to be thankful for an adverse situation, but we can be thankful for all the good things that sustain us.
Stephen Hawking	We each exist for but a short time, and in that time explore but a small part of the whole universe
Maria Mitchell	We especially need imagination in science. It is not all mathematics, nor all logic, but it is somewhat beauty and poetry.
Ludwig Wittgenstein	We feel that even if all possible scientific questions be answered, the problems of life have still not been touched at all.
E. B. Browning.	We get no good by being ungenerous, even to a book.
	We hate to have some people give us advice because we know how badly they need it themselves.
Jane Austen	We have all a better guide in ourselves, if we would attend to it, than any other person can be.
Winston Churchill	We have always found the Irish a bit odd. They refuse to be English.
Friedrich Nietzsche	We have art to save ourselves from the truth.
Douglas Adams	We have normality. I repeat, we have normality. Anything you still can't cope with is therefore your own problem.
Richard L. Ratliff	We learn and grow Always building on what we know
Sharon Salzberg	We long for permanence but everything in the known universe is transient. That's a fact but one we fight.
Yogi Berra	We made too many wrong mistakes.
Steve Maraboli	We may place blame, give reasons, and even have excuses; but in the end, it is an act of cowardice to not follow your dreams.
Mahatma Gandhi	We must be the change we wish to see in the world.
David Mamet	We must have a pie. Stress cannot exist in the presence of a pie.
Carl Sagan	We must understand the Cosmos as it is and not confuse how it is with how we wish it to be.
Lailah Gifty Akita	We must work while we have strength.
Janaki Sooriyarachchi	We need no language to laugh
George Eliot.	We prepare ourselves for sudden deeds by the reiterated choice of good or evil, that gradually determines character.
Benjamin Franklin	Well done is better than well said.
E.A. Bucchianeri	Well, if it can be thought, it can be done, a problem can be overcome,
Rajen Jani	Well-intentioned but ill-informed actions usually compromise quality.
Martin Fraquhar Tupper	Well-timed silence hath more eloquence than speech.
J.K. Rowling	We're all human, aren't we? Every human life is worth the same, and worth saving.
Jason Kidd	We're going to turn this team around 360 degrees.
David Hanson	We're seeing the arrival of conversational robots that can walk in our world. It's a golden age of invention.
Bill Watterson	We're so busy watching out for what's just ahead of us that we don't take time to enjoy where we are.
Isaac Asimov	We've lost all geographical frontiers on Earth, but new and far larger ones exist at Earth's doorstep.
Anonymous.	We've made great medical progress in the last generation. What used to be merely an itch is now an allergy.
Alice Bag	What a waste my life would be without all the beautiful mistakes I've made.
Scott Adams.	What are the odds that you are the first generation of humans who will understand reality ?
Isaac Asimov	What can be more important than the science of life to any intelligent being who has the good fortune to be alive?
Unknown	What did the light bulb say to the switch? "You turn me on."
Unknown	What did the pirate say when he found someone? I sea you!
Unknown	What did the stamp say to the envelope on Valentine's Day? "I'm stuck on you!"
Unknown	What did the vegan say? I made a big missed steak.
Unknown	What do you have to do to have a party in space? You have to Planet.
Douglas Adams	What does it matter? Science has achieved some wonderful things, of course, but I'd far rather be happy than right any day.
Unknown	What dog can't bark? A hot dog.
	What I call a good patient is one who, having found a good physician, sticks to him till he dies.
John Green	What I love about science is that as you learn, you don't really get answers. You just get better questions.
Albert Camus	What is a rebel? A man who says no.
Unknown	What is an alien's favorite candy? A Mars bar!
Johann Wolfgang von Goethe	What is not started today is never finished tomorrow.
Unknown	What is the most important thing to learn in chemistry? Never lick the spoon.
Ralph Waldo Emerson	What lies behind us and what lies before us are tiny matters compared to what lies within us.
Richard Dawkins	What matters is not the facts but how you discover and think about them.
Antoine de Saint-Exupéry	What saves a man is to take a step. Then another step.
De philosopher DJ Kyoss	What should scare you is not knowing what you don't know. Always be eager to learn for knowledge is power.
Plutarch	What we achieve inwardly will change outer reality.
Theodore Roethke	What we need is more people who specialize in the impossible.
Sir John Lubbock	What we see depends mainly on what we look for.
Buddha	What we think, we become.
Unknown	What will fall on the lawn first? An autumn leaf or a Christmas catalog?
Unknown	What would you get if you crossed a athlete and the Invisible Man?… Sports like no one has ever seen.
Jane Goodall	What you do makes a difference, and you have to decide what kind of difference you want to make.
Stephen Hawking	What you have told us is rubbish. The world is really a flat plate supported on the back of a giant tortoise.
Sujit Lalwani	What You were Once, Was Also Because You Were Someone Else Before that
Isaac Asimov	Whatever else astronomy may or may not be who can doubt it to be the most beautiful of the sciences?
Lolly Daskal	Whatever you will accomplish is restricted by your ability to lead others.
